file_path,file_name,directory,file_size,category,format_type,num_columns,num_rows,sample_data
C:\Users\ayild\Desktop\ACP Files\Hallway_different_bodies\personA\LQI.dat,LQI.dat,Hallway_different_bodies\personA\LQI.dat,476,radio_measurement_separate,time_value_stddev,3,25,"['2 107.097 0.0468679', '4 107.033 0.412142', '6 106.123 0.231403', '8 106.177 0.317909', '10 105.744 0.496193']"
C:\Users\ayild\Desktop\ACP Files\Hallway_different_bodies\personA\RSSI.dat,RSSI.dat,Hallway_different_bodies\personA\RSSI.dat,513,radio_measurement_separate,time_value_stddev,3,25,"['2 -68.0285 1.4299', '4 -71.1394 0.364496', '6 -75.0955 0.704065', '8 -75.7635 0.606267', '10 -79.3151 0.43085']"
C:\Users\ayild\Desktop\ACP Files\Hallway_different_bodies\personA\THROUGHPUT.dat,THROUGHPUT.dat,Hallway_different_bodies\personA\THROUGHPUT.dat,462,radio_measurement_separate,time_value_stddev,3,25,"['2 20385.2 2479.7', '4 18538.5 3319.39', '6 21174.4 1507.72', '8 21721.1 3017.63', '10 21539.4 3638.69']"
C:\Users\ayild\Desktop\ACP Files\Hallway_different_bodies\personB\LQI.dat,LQI.dat,Hallway_different_bodies\personB\LQI.dat,475,radio_measurement_separate,time_value_stddev,3,25,"['2 107.06 0.0927718', '4 106.348 0.690711', '6 106.5 0.224522', '8 106.236 0.361346', '10 105.131 0.857251']"
C:\Users\ayild\Desktop\ACP Files\Hallway_different_bodies\personB\RSSI.dat,RSSI.dat,Hallway_different_bodies\personB\RSSI.dat,503,radio_measurement_separate,time_value_stddev,3,25,"['2 -67.5345 0.487322', '4 -71.6721 1.58963', '6 -72.9022 1.22736', '8 -73.41 2.02163', '10 -77.8985 1.00102']"
C:\Users\ayild\Desktop\ACP Files\Hallway_different_bodies\personB\THROUGHPUT.dat,THROUGHPUT.dat,Hallway_different_bodies\personB\THROUGHPUT.dat,466,radio_measurement_separate,time_value_stddev,3,25,"['2 20059.9 1369.07', '4 19550.8 3885.7', '6 19590.5 2210.8', '8 20535.3 3820.63', '10 18734.1 1470.48']"
C:\Users\ayild\Desktop\ACP Files\Hallway_peoplecrossing\necklace\LQI.dat,LQI.dat,Hallway_peoplecrossing\necklace\LQI.dat,826,radio_measurement_separate,time_value_stddev,3,45,"['-50 74.5 0', '-48 70.5 0', '-46 79.9732 9.34349', '-44 77.8954 7.47771', '-42 81.1122 5.35274']"
C:\Users\ayild\Desktop\ACP Files\Hallway_peoplecrossing\necklace\RSSI.dat,RSSI.dat,Hallway_peoplecrossing\necklace\RSSI.dat,886,radio_measurement_separate,time_value_stddev,3,45,"['-50 -95.1667 0', '-48 -95.5625 0', '-46 -94.3436 1.05302', '-44 -94.7704 0.664622', '-42 -94.4366 0.711605']"
C:\Users\ayild\Desktop\ACP Files\Hallway_peoplecrossing\necklace\THROUGHPUT.dat,THROUGHPUT.dat,Hallway_peoplecrossing\necklace\THROUGHPUT.dat,811,radio_measurement_separate,time_value_stddev,3,45,"['-50 3600 0', '-48 1387.95 0', '-46 4293.88 3227.27', '-44 7920 997.869', '-42 3007.16 986.109']"
C:\Users\ayild\Desktop\ACP Files\Hallway_peoplecrossing\pocket\LQI.dat,LQI.dat,Hallway_peoplecrossing\pocket\LQI.dat,800,radio_measurement_separate,time_value_stddev,3,43,"['-50 74.0714 0', '-48 92.2222 0', '-46 74.1667 0', '-44 79.2533 3.84879', '-42 82.1428 0.917375']"
