original_file,original_filename,category,cleaned_file,cleaned_filename,rows_processed,rows_cleaned,rows_dropped,status
C:\Users\ayild\Desktop\ACP Files\Hallway_different_bodies\personA\LQI.dat,LQI.dat,radio_measurement_separate,C:\Users\ayild\Desktop\ACP Files\cleaned_data\radio_separate\Hallway_different_bodies_personA_LQI.dat_LQI.csv,Hallway_different_bodies_personA_LQI.dat_LQI.csv,25,25,0,success
C:\Users\ayild\Desktop\ACP Files\Hallway_different_bodies\personA\RSSI.dat,RSSI.dat,radio_measurement_separate,C:\Users\ayild\Desktop\ACP Files\cleaned_data\radio_separate\Hallway_different_bodies_personA_RSSI.dat_RSSI.csv,Hallway_different_bodies_personA_RSSI.dat_RSSI.csv,25,25,0,success
C:\Users\ayild\Desktop\ACP Files\Hallway_different_bodies\personA\THROUGHPUT.dat,THROUGHPUT.dat,radio_measurement_separate,C:\Users\ayild\Desktop\ACP Files\cleaned_data\radio_separate\Hallway_different_bodies_personA_THROUGHPUT.dat_THROUGHPUT.csv,Hallway_different_bodies_personA_THROUGHPUT.dat_THROUGHPUT.csv,25,25,0,success
C:\Users\ayild\Desktop\ACP Files\Hallway_different_bodies\personB\LQI.dat,LQI.dat,radio_measurement_separate,C:\Users\ayild\Desktop\ACP Files\cleaned_data\radio_separate\Hallway_different_bodies_personB_LQI.dat_LQI.csv,Hallway_different_bodies_personB_LQI.dat_LQI.csv,25,25,0,success
C:\Users\ayild\Desktop\ACP Files\Hallway_different_bodies\personB\RSSI.dat,RSSI.dat,radio_measurement_separate,C:\Users\ayild\Desktop\ACP Files\cleaned_data\radio_separate\Hallway_different_bodies_personB_RSSI.dat_RSSI.csv,Hallway_different_bodies_personB_RSSI.dat_RSSI.csv,25,25,0,success
C:\Users\ayild\Desktop\ACP Files\Hallway_different_bodies\personB\THROUGHPUT.dat,THROUGHPUT.dat,radio_measurement_separate,C:\Users\ayild\Desktop\ACP Files\cleaned_data\radio_separate\Hallway_different_bodies_personB_THROUGHPUT.dat_THROUGHPUT.csv,Hallway_different_bodies_personB_THROUGHPUT.dat_THROUGHPUT.csv,25,25,0,success
C:\Users\ayild\Desktop\ACP Files\Hallway_peoplecrossing\necklace\LQI.dat,LQI.dat,radio_measurement_separate,C:\Users\ayild\Desktop\ACP Files\cleaned_data\radio_separate\Hallway_peoplecrossing_necklace_LQI.dat_LQI.csv,Hallway_peoplecrossing_necklace_LQI.dat_LQI.csv,45,45,0,success
C:\Users\ayild\Desktop\ACP Files\Hallway_peoplecrossing\necklace\RSSI.dat,RSSI.dat,radio_measurement_separate,C:\Users\ayild\Desktop\ACP Files\cleaned_data\radio_separate\Hallway_peoplecrossing_necklace_RSSI.dat_RSSI.csv,Hallway_peoplecrossing_necklace_RSSI.dat_RSSI.csv,45,45,0,success
C:\Users\ayild\Desktop\ACP Files\Hallway_peoplecrossing\necklace\THROUGHPUT.dat,THROUGHPUT.dat,radio_measurement_separate,C:\Users\ayild\Desktop\ACP Files\cleaned_data\radio_separate\Hallway_peoplecrossing_necklace_THROUGHPUT.dat_THROUGHPUT.csv,Hallway_peoplecrossing_necklace_THROUGHPUT.dat_THROUGHPUT.csv,45,45,0,success
C:\Users\ayild\Desktop\ACP Files\Hallway_peoplecrossing\pocket\LQI.dat,LQI.dat,radio_measurement_separate,C:\Users\ayild\Desktop\ACP Files\cleaned_data\radio_separate\Hallway_peoplecrossing_pocket_LQI.dat_LQI.csv,Hallway_peoplecrossing_pocket_LQI.dat_LQI.csv,43,43,0,success
C:\Users\ayild\Desktop\ACP Files\Hallway_peoplecrossing\pocket\RSSI.dat,RSSI.dat,radio_measurement_separate,C:\Users\ayild\Desktop\ACP Files\cleaned_data\radio_separate\Hallway_peoplecrossing_pocket_RSSI.dat_RSSI.csv,Hallway_peoplecrossing_pocket_RSSI.dat_RSSI.csv,43,43,0,success
C:\Users\ayild\Desktop\ACP Files\Hallway_peoplecrossing\pocket\THROUGHPUT.dat,THROUGHPUT.dat,radio_measurement_separate,C:\Users\ayild\Desktop\ACP Files\cleaned_data\radio_separate\Hallway_peoplecrossing_pocket_THROUGHPUT.dat_THROUGHPUT.csv,Hallway_peoplecrossing_pocket_THROUGHPUT.dat_THROUGHPUT.csv,43,43,0,success
C:\Users\ayild\Desktop\ACP Files\Hallway_turning_corners\necklace\LQI.dat,LQI.dat,radio_measurement_separate,C:\Users\ayild\Desktop\ACP Files\cleaned_data\radio_separate\Hallway_turning_corners_necklace_LQI.dat_LQI.csv,Hallway_turning_corners_necklace_LQI.dat_LQI.csv,41,41,0,success
C:\Users\ayild\Desktop\ACP Files\Hallway_turning_corners\necklace\RSSI.dat,RSSI.dat,radio_measurement_separate,C:\Users\ayild\Desktop\ACP Files\cleaned_data\radio_separate\Hallway_turning_corners_necklace_RSSI.dat_RSSI.csv,Hallway_turning_corners_necklace_RSSI.dat_RSSI.csv,30,30,0,success
C:\Users\ayild\Desktop\ACP Files\Hallway_turning_corners\necklace\THROUGHPUT.dat,THROUGHPUT.dat,radio_measurement_separate,C:\Users\ayild\Desktop\ACP Files\cleaned_data\radio_separate\Hallway_turning_corners_necklace_THROUGHPUT.dat_THROUGHPUT.csv,Hallway_turning_corners_necklace_THROUGHPUT.dat_THROUGHPUT.csv,41,41,0,success
C:\Users\ayild\Desktop\ACP Files\Hallway_turning_corners\pocket\LQI.dat,LQI.dat,radio_measurement_separate,C:\Users\ayild\Desktop\ACP Files\cleaned_data\radio_separate\Hallway_turning_corners_pocket_LQI.dat_LQI.csv,Hallway_turning_corners_pocket_LQI.dat_LQI.csv,41,41,0,success
C:\Users\ayild\Desktop\ACP Files\Hallway_turning_corners\pocket\RSSI.dat,RSSI.dat,radio_measurement_separate,C:\Users\ayild\Desktop\ACP Files\cleaned_data\radio_separate\Hallway_turning_corners_pocket_RSSI.dat_RSSI.csv,Hallway_turning_corners_pocket_RSSI.dat_RSSI.csv,29,29,0,success
C:\Users\ayild\Desktop\ACP Files\Hallway_turning_corners\pocket\THROUGHPUT.dat,THROUGHPUT.dat,radio_measurement_separate,C:\Users\ayild\Desktop\ACP Files\cleaned_data\radio_separate\Hallway_turning_corners_pocket_THROUGHPUT.dat_THROUGHPUT.csv,Hallway_turning_corners_pocket_THROUGHPUT.dat_THROUGHPUT.csv,41,41,0,success
C:\Users\ayild\Desktop\ACP Files\Hallway_tx_at_the_edge\LOS\LQI.dat,LQI.dat,radio_measurement_separate,C:\Users\ayild\Desktop\ACP Files\cleaned_data\radio_separate\Hallway_tx_at_the_edge_LOS_LQI.dat_LQI.csv,Hallway_tx_at_the_edge_LOS_LQI.dat_LQI.csv,25,23,4,success
C:\Users\ayild\Desktop\ACP Files\Hallway_tx_at_the_edge\LOS\RSSI.dat,RSSI.dat,radio_measurement_separate,C:\Users\ayild\Desktop\ACP Files\cleaned_data\radio_separate\Hallway_tx_at_the_edge_LOS_RSSI.dat_RSSI.csv,Hallway_tx_at_the_edge_LOS_RSSI.dat_RSSI.csv,25,24,6,success
C:\Users\ayild\Desktop\ACP Files\Hallway_tx_at_the_edge\LOS\THROUGHPUT.dat,THROUGHPUT.dat,radio_measurement_separate,C:\Users\ayild\Desktop\ACP Files\cleaned_data\radio_separate\Hallway_tx_at_the_edge_LOS_THROUGHPUT.dat_THROUGHPUT.csv,Hallway_tx_at_the_edge_LOS_THROUGHPUT.dat_THROUGHPUT.csv,25,24,8,success
C:\Users\ayild\Desktop\ACP Files\Hallway_tx_at_the_edge\necklace\LQI.dat,LQI.dat,radio_measurement_separate,C:\Users\ayild\Desktop\ACP Files\cleaned_data\radio_separate\Hallway_tx_at_the_edge_necklace_LQI.dat_LQI.csv,Hallway_tx_at_the_edge_necklace_LQI.dat_LQI.csv,25,25,8,success
C:\Users\ayild\Desktop\ACP Files\Hallway_tx_at_the_edge\necklace\RSSI.dat,RSSI.dat,radio_measurement_separate,C:\Users\ayild\Desktop\ACP Files\cleaned_data\radio_separate\Hallway_tx_at_the_edge_necklace_RSSI.dat_RSSI.csv,Hallway_tx_at_the_edge_necklace_RSSI.dat_RSSI.csv,25,25,8,success
C:\Users\ayild\Desktop\ACP Files\Hallway_tx_at_the_edge\necklace\THROUGHPUT.dat,THROUGHPUT.dat,radio_measurement_separate,C:\Users\ayild\Desktop\ACP Files\cleaned_data\radio_separate\Hallway_tx_at_the_edge_necklace_THROUGHPUT.dat_THROUGHPUT.csv,Hallway_tx_at_the_edge_necklace_THROUGHPUT.dat_THROUGHPUT.csv,25,25,8,success
