timestamp,rssi,lqi,throughput
0,-78.0479,106.86,21244.9
15,-80.6982,106.175,21053.1
30,-81.2575,105.377,21047.3
45,-82.9599,105.197,21312.6
60,-83.578,104.274,20958.2
75,-84.2149,104.751,20955.2
90,-81.0453,106.386,21372.4
105,-78.2311,106.922,21175.0
120,-77.2102,106.874,21194.8
135,-75.9076,107.03,20961.8
150,-75.7367,107.005,20895.9
165,-77.7772,106.788,21010.9
180,-78.3874,106.649,21128.5
195,-77.8404,106.932,21084.9
210,-76.7453,106.969,21265.6
225,-78.4054,106.755,21584.7
240,-79.0361,106.77,21305.8
285,-81.0116,106.249,21219.5
300,-79.9923,106.545,20976.2
315,-82.326,105.336,20916.9
330,-80.219,106.533,21275.5
345,-76.9962,106.934,21205.7
