timestamp,measurement_type,value,stddev
2,lqi,-68.0285,1.4299
4,lqi,-71.1394,0.364496
6,lqi,-75.0955,0.704065
8,lqi,-75.7635,0.606267
10,lqi,-79.3151,0.43085
12,lqi,-81.0215,0.557917
14,lqi,-82.3829,0.750089
16,lqi,-80.3965,0.751043
18,lqi,-81.3186,1.00801
20,lqi,-84.9493,0.825927
22,lqi,-86.7767,0.898158
24,lqi,-85.7157,1.37788
26,lqi,-84.7767,0.986548
28,lqi,-85.7429,1.63589
30,lqi,-87.8303,0.411286
32,lqi,-88.5329,0.661431
34,lqi,-88.4993,0.789865
36,lqi,-87.6036,0.649025
38,lqi,-88.998,0.542622
40,lqi,-88.9963,0.472864
42,lqi,-89.1832,0.574556
44,lqi,-90.4784,0.29121
46,lqi,-90.5892,0.375585
48,lqi,-90.6383,0.597333
50,lqi,-89.8637,0.510153
