timestamp,measurement_type,value,stddev
2,lqi,107.06,0.0927718
4,lqi,106.348,0.690711
6,lqi,106.5,0.224522
8,lqi,106.236,0.361346
10,lqi,105.131,0.857251
12,lqi,104.257,0.727398
14,lqi,104.339,0.410182
16,lqi,105.287,0.754582
18,lqi,104.576,0.765182
20,lqi,101.875,1.81485
22,lqi,101.55,2.82141
24,lqi,101.561,1.22381
26,lqi,99.5179,1.96643
28,lqi,102.752,1.01071
30,lqi,101.374,2.4095
32,lqi,100.537,1.90061
34,lqi,101.767,0.952578
36,lqi,100.509,1.30576
38,lqi,93.6386,3.00251
40,lqi,88.8862,3.53641
42,lqi,93.081,1.26385
44,lqi,96.0724,1.4101
46,lqi,92.7727,2.56296
48,lqi,95.9199,4.74583
50,lqi,91.4862,3.57275
