timestamp,measurement_type,value,stddev
2,lqi,-67.5345,0.487322
4,lqi,-71.6721,1.58963
6,lqi,-72.9022,1.22736
8,lqi,-73.41,2.02163
10,lqi,-77.8985,1.00102
12,lqi,-79.0897,1.09693
14,lqi,-80.1153,0.861355
16,lqi,-78.0178,1.73296
18,lqi,-79.0802,1.44403
20,lqi,-82.4704,1.99753
22,lqi,-84.0053,0.387503
24,lqi,-85.2566,0.909427
26,lqi,-85.9079,1.33875
28,lqi,-84.046,0.699219
30,lqi,-84.3872,1.67835
32,lqi,-85.2344,0.846943
34,lqi,-83.8479,1.26041
36,lqi,-85.4153,0.405701
38,lqi,-89.6099,0.499644
40,lqi,-90.5094,0.647366
42,lqi,-89.3629,0.581674
44,lqi,-88.0637,1.32243
46,lqi,-89.2207,1.11433
48,lqi,-88.4364,1.84446
50,lqi,-90.1638,0.79686
