timestamp,measurement_type,value,stddev
2,lqi,20059.9,1369.07
4,lqi,19550.8,3885.7
6,lqi,19590.5,2210.8
8,lqi,20535.3,3820.63
10,lqi,18734.1,1470.48
12,lqi,24181.1,4734.37
14,lqi,21660.7,2686.88
16,lqi,21237.1,2998.19
18,lqi,18924.4,2191.67
20,lqi,17693.7,3419.61
22,lqi,15236.0,2902.89
24,lqi,17678.9,3682.96
26,lqi,14990.1,2502.62
28,lqi,18945.1,4342.39
30,lqi,18650.2,2522.78
32,lqi,12844.6,3865.58
34,lqi,21004.4,3172.79
36,lqi,16719.6,3760.48
38,lqi,9327.45,3185.26
40,lqi,8663.52,3099.27
42,lqi,12690.2,3513.92
44,lqi,13716.5,6905.26
46,lqi,8744.1,3159.33
48,lqi,11603.6,4482.01
50,lqi,11169.4,4253.67
