timestamp,measurement_type,value,stddev
-50,lqi,74.5,0.0
-48,lqi,70.5,0.0
-46,lqi,79.9732,9.34349
-44,lqi,77.8954,7.47771
-42,lqi,81.1122,5.35274
-40,lqi,82.1352,3.162
-38,lqi,83.8466,0.0393604
-36,lqi,75.5928,1.46514
-34,lqi,75.8851,4.14532
-32,lqi,89.4506,2.70065
-30,lqi,82.9143,7.36975
-28,lqi,82.3473,2.1534
-26,lqi,84.5704,3.42804
-24,lqi,71.6667,0.0
-22,lqi,82.748,2.96526
-20,lqi,89.2489,0.749233
-18,lqi,88.664,3.64142
-16,lqi,88.5557,0.918358
-14,lqi,93.1723,2.60945
-12,lqi,95.8423,2.9248
-10,lqi,92.4799,7.28156
-8,lqi,99.8596,0.996089
-6,lqi,98.2508,4.87793
-4,lqi,104.15,1.77411
-2,lqi,104.617,1.42442
2,lqi,107.202,0.263731
4,lqi,107.436,0.0760274
6,lqi,106.91,0.419937
8,lqi,107.202,0.0922335
10,lqi,106.876,0.0
12,lqi,106.634,0.725193
16,lqi,106.169,1.14963
20,lqi,106.394,1.36878
24,lqi,104.688,2.08772
28,lqi,104.16,5.17344
30,lqi,107.314,0.0
32,lqi,104.151,5.5817
34,lqi,107.195,0.0
36,lqi,103.805,6.185
38,lqi,107.202,0.0
40,lqi,103.818,5.01168
42,lqi,107.26,0.0218907
44,lqi,102.815,7.30552
46,lqi,107.074,0.231218
50,lqi,105.199,3.69165
