timestamp,measurement_type,value,stddev
-50,lqi,-95.1667,0.0
-48,lqi,-95.5625,0.0
-46,lqi,-94.3436,1.05302
-44,lqi,-94.7704,0.664622
-42,lqi,-94.4366,0.711605
-40,lqi,-94.3778,0.321536
-38,lqi,-94.2114,0.0850268
-36,lqi,-94.975,0.0346482
-34,lqi,-94.9145,0.201465
-32,lqi,-93.2353,0.867447
-30,lqi,-93.8653,1.14957
-28,lqi,-93.9923,0.26475
-26,lqi,-93.8738,0.582099
-24,lqi,-95.1667,0.0
-22,lqi,-94.2229,0.380236
-20,lqi,-93.0888,0.0501706
-18,lqi,-93.2543,0.615426
-16,lqi,-93.1605,0.332853
-14,lqi,-91.7688,1.14413
-12,lqi,-90.6313,1.84259
-10,lqi,-91.6149,1.74476
-8,lqi,-89.3506,0.944201
-6,lqi,-89.0614,2.51773
-4,lqi,-84.7049,1.96678
-2,lqi,-82.3302,2.37253
2,lqi,-64.8739,6.73928
4,lqi,-58.314,1.59003
6,lqi,-71.6047,5.65057
8,lqi,-67.3925,2.46672
10,lqi,-74.2697,0.0
12,lqi,-74.131,4.11957
16,lqi,-75.9297,3.7791
20,lqi,-75.5663,3.89337
24,lqi,-82.1546,2.74949
28,lqi,-79.575,5.27905
30,lqi,-73.1483,0.0
32,lqi,-77.8771,5.61991
34,lqi,-75.7783,0.0
36,lqi,-78.0069,5.84311
38,lqi,-74.9035,0.0
40,lqi,-81.1048,6.40431
42,lqi,-75.7032,1.29651
44,lqi,-79.9732,9.75277
46,lqi,-77.2349,2.14405
50,lqi,-77.7929,4.72992
