timestamp,measurement_type,value,stddev
-50,lqi,3600.0,0.0
-48,lqi,1387.95,0.0
-46,lqi,4293.88,3227.27
-44,lqi,7920.0,997.869
-42,lqi,3007.16,986.109
-40,lqi,3978.8,857.606
-38,lqi,2815.39,1087.42
-36,lqi,1990.05,353.564
-34,lqi,1738.06,639.881
-32,lqi,2524.16,1548.32
-30,lqi,6099.32,2971.85
-28,lqi,5765.39,2749.86
-26,lqi,6706.98,2047.16
-24,lqi,2700.0,0.0
-22,lqi,2945.89,1499.29
-20,lqi,2690.53,787.79
-18,lqi,6184.06,3030.7
-16,lqi,6005.61,1025.94
-14,lqi,12903.9,1565.46
-12,lqi,16064.2,1332.92
-10,lqi,11568.3,5741.5
-8,lqi,17056.8,644.628
-6,lqi,15460.9,3901.52
-4,lqi,19628.5,477.059
-2,lqi,19419.1,362.309
2,lqi,20924.6,270.259
4,lqi,21033.2,155.251
6,lqi,21047.7,468.998
8,lqi,20976.2,196.25
10,lqi,20783.5,0.0
12,lqi,20459.9,549.686
16,lqi,20591.8,83.3729
20,lqi,20235.9,514.004
24,lqi,20055.0,1565.89
28,lqi,19247.1,2956.82
30,lqi,20903.2,0.0
32,lqi,18619.6,4036.66
34,lqi,20855.2,0.0
36,lqi,19139.9,4185.38
38,lqi,21125.3,0.0
40,lqi,19900.0,2323.34
42,lqi,21534.9,225.029
44,lqi,18589.3,4894.34
46,lqi,21437.3,313.651
50,lqi,19330.4,2631.9
