timestamp,measurement_type,value,stddev
-50,lqi,74.0714,0.0
-48,lqi,92.2222,0.0
-46,lqi,74.1667,0.0
-44,lqi,79.2533,3.84879
-42,lqi,82.1428,0.917375
-40,lqi,81.2092,10.2994
-38,lqi,81.2368,3.58505
-36,lqi,74.9428,11.5626
-34,lqi,82.2751,0.129307
-32,lqi,84.2734,2.91602
-30,lqi,81.1386,4.57005
-28,lqi,82.2298,3.23878
-26,lqi,84.9041,2.55275
-24,lqi,89.579,9.70324
-22,lqi,82.8282,3.45488
-20,lqi,90.1251,2.63728
-18,lqi,90.2806,2.34263
-16,lqi,95.8831,0.0
-14,lqi,93.5291,1.57073
-12,lqi,94.8921,0.0
-10,lqi,97.6227,1.15181
-8,lqi,99.9299,1.17664
-6,lqi,101.744,1.36585
-4,lqi,101.84,1.01999
-2,lqi,104.67,0.303519
2,lqi,106.834,0.379745
4,lqi,107.199,0.185132
6,lqi,107.1,0.0762261
8,lqi,107.027,0.169164
10,lqi,106.079,0.635449
12,lqi,106.298,0.322128
14,lqi,106.157,0.0
16,lqi,107.088,0.181971
18,lqi,107.252,0.0
20,lqi,107.24,0.072756
24,lqi,107.013,0.0926266
28,lqi,106.793,0.55628
32,lqi,105.972,0.389947
36,lqi,103.17,1.06628
40,lqi,95.9414,2.01091
44,lqi,91.0006,3.25012
48,lqi,98.3387,3.26846
50,lqi,99.5829,1.04158
