timestamp,measurement_type,value,stddev
-50,lqi,-95.0,0.0
-48,lqi,-93.4444,0.0
-46,lqi,-94.8333,0.0
-44,lqi,-94.4697,0.273028
-42,lqi,-94.2041,0.0314043
-40,lqi,-94.0946,1.4088
-38,lqi,-94.4088,0.403583
-36,lqi,-94.7,0.970151
-34,lqi,-94.0646,0.162431
-32,lqi,-93.8139,0.125668
-30,lqi,-94.1145,0.572926
-28,lqi,-94.1321,0.460336
-26,lqi,-93.7845,0.383423
-24,lqi,-92.3113,2.46363
-22,lqi,-94.0781,0.564008
-20,lqi,-92.8941,0.531712
-18,lqi,-92.6509,0.549159
-16,lqi,-91.0909,0.0
-14,lqi,-91.6795,0.659586
-12,lqi,-91.5396,0.0
-10,lqi,-89.9976,0.765066
-8,lqi,-88.4379,1.06309
-6,lqi,-87.3039,1.18354
-4,lqi,-87.4323,1.02781
-2,lqi,-82.9922,1.28302
2,lqi,-70.2827,1.49147
4,lqi,-68.6573,0.614699
6,lqi,-71.1841,1.86782
8,lqi,-71.438,1.83566
10,lqi,-76.3846,4.42042
12,lqi,-78.4026,1.28623
14,lqi,-77.5291,0.0
16,lqi,-72.716,1.11427
18,lqi,-72.5905,0.0
20,lqi,-74.7916,1.40501
24,lqi,-77.1564,0.636959
28,lqi,-79.1656,1.77864
32,lqi,-82.8421,1.14052
36,lqi,-86.6101,0.802436
40,lqi,-91.2217,0.817574
44,lqi,-92.4198,0.682032
48,lqi,-89.9086,1.68045
50,lqi,-89.0097,0.81395
