timestamp,measurement_type,value,stddev
-50,lqi,9415.38,0.0
-48,lqi,16200.0,0.0
-46,lqi,8640.0,0.0
-44,lqi,3338.49,1566.77
-42,lqi,3105.61,300.978
-40,lqi,3891.18,1650.88
-38,lqi,2010.33,373.744
-36,lqi,1175.0,242.538
-34,lqi,2385.47,1445.66
-32,lqi,9388.42,8354.47
-30,lqi,6682.89,7483.37
-28,lqi,3525.68,2119.97
-26,lqi,4284.19,1013.62
-24,lqi,9314.08,8405.0
-22,lqi,3495.02,2173.43
-20,lqi,9517.89,4573.16
-18,lqi,9161.94,3018.48
-16,lqi,14833.7,0.0
-14,lqi,12839.2,1216.92
-12,lqi,13272.3,0.0
-10,lqi,15841.6,1101.38
-8,lqi,17154.6,809.308
-6,lqi,18653.0,1138.2
-4,lqi,18450.9,556.998
-2,lqi,19898.2,105.331
2,lqi,21043.2,272.682
4,lqi,21190.6,257.84
6,lqi,21028.0,328.535
8,lqi,20921.2,272.303
10,lqi,20762.3,745.145
12,lqi,20645.6,162.34
14,lqi,20347.8,0.0
16,lqi,20756.0,275.898
18,lqi,20914.3,0.0
20,lqi,20748.8,107.758
24,lqi,20693.4,284.453
28,lqi,21412.1,249.743
32,lqi,20630.7,372.68
36,lqi,19620.9,853.201
40,lqi,14077.8,1101.58
44,lqi,11141.7,1857.3
48,lqi,15502.5,2649.33
50,lqi,17523.4,1415.88
