timestamp,measurement_type,value,stddev
2,lqi,0.0,0.0
4,lqi,0.0,0.0
6,lqi,0.0,0.0
8,lqi,0.0,0.0
10,lqi,0.0,0.0
12,lqi,0.0,0.0
14,lqi,58.0,0.0
16,lqi,71.7455,2.43447
18,lqi,83.6326,1.62933
20,lqi,94.1256,1.03611
22,lqi,106.822,0.14776
24,lqi,107.251,0.0349887
26,lqi,107.282,0.033564
28,lqi,105.162,1.02123
30,lqi,106.464,0.60523
32,lqi,105.848,0.548127
34,lqi,106.037,0.446785
36,lqi,106.078,0.532118
38,lqi,106.723,0.314287
40,lqi,106.963,0.152652
42,lqi,107.287,0.134285
44,lqi,107.16,0.0288412
46,lqi,107.018,0.113399
48,lqi,106.001,0.108423
50,lqi,106.105,0.472783
52,lqi,105.467,0.58288
54,lqi,104.047,0.524252
56,lqi,104.016,0.447742
58,lqi,97.9824,3.02465
60,lqi,99.0256,1.61554
62,lqi,98.0911,2.44822
64,lqi,97.1192,1.63359
66,lqi,93.7534,3.68487
68,lqi,95.8053,1.10847
70,lqi,94.0627,2.38349
72,lqi,96.086,0.0
74,lqi,0.0,0.0
76,lqi,0.0,0.0
78,lqi,0.0,0.0
80,lqi,0.0,0.0
82,lqi,0.0,0.0
