timestamp,measurement_type,value,stddev
14,lqi,-98.6,2.45431
16,lqi,-91.1591,0.419001
18,lqi,-89.7796,0.327833
20,lqi,-85.9519,0.627185
22,lqi,-72.8264,1.12413
24,lqi,-67.7197,0.614876
26,lqi,-68.384,0.387877
28,lqi,-76.7501,1.33616
30,lqi,-75.0981,1.28281
32,lqi,-74.0251,0.630982
34,lqi,-73.4069,0.892744
36,lqi,-72.5985,1.08329
38,lqi,-66.7763,1.41138
40,lqi,-62.6826,0.324341
42,lqi,-56.7291,1.16049
44,lqi,-58.2861,3.79451
46,lqi,-65.9358,1.52727
48,lqi,-73.5706,0.922277
50,lqi,-73.1001,1.71822
52,lqi,-76.9368,1.2284
54,lqi,-79.4797,0.871881
56,lqi,-80.1064,0.539069
58,lqi,-84.2533,2.6461
60,lqi,-84.4682,0.878538
62,lqi,-85.092,0.915752
64,lqi,-85.3983,0.84897
66,lqi,-86.5806,1.35022
68,lqi,-86.0654,0.752287
70,lqi,-86.9736,0.751265
72,lqi,-97.2258,4.86339
