timestamp,measurement_type,value,stddev
2,lqi,0.0,0.0
4,lqi,0.0,0.0
6,lqi,0.0,0.0
8,lqi,0.0,0.0
10,lqi,0.0,0.0
12,lqi,0.0,0.0
14,lqi,262.069,459.427
16,lqi,1378.19,630.223
18,lqi,5463.1,1098.87
20,lqi,13191.1,3008.23
22,lqi,20595.8,2726.53
24,lqi,17380.8,2075.04
26,lqi,19058.9,1969.92
28,lqi,18018.3,3335.77
30,lqi,18272.1,2549.61
32,lqi,20636.5,2240.31
34,lqi,16036.3,2242.74
36,lqi,19919.6,4046.73
38,lqi,20901.5,2476.62
40,lqi,21970.1,2843.02
42,lqi,18736.3,2309.53
44,lqi,19261.1,2986.46
46,lqi,20256.1,2487.31
48,lqi,20227.6,2428.31
50,lqi,16759.3,217.58
52,lqi,19071.7,2492.03
54,lqi,20333.2,4607.36
56,lqi,19096.5,1052.38
58,lqi,14839.0,2266.07
60,lqi,18388.7,1513.0
62,lqi,19920.8,4416.44
64,lqi,12465.2,1622.37
66,lqi,13998.9,2287.85
68,lqi,15478.9,1964.77
70,lqi,18205.8,3689.26
72,lqi,0.0,0.0
74,lqi,0.0,0.0
76,lqi,0.0,0.0
78,lqi,0.0,0.0
80,lqi,0.0,0.0
82,lqi,0.0,0.0
