timestamp,measurement_type,value,stddev
2,lqi,0.0,0.0
4,lqi,0.0,0.0
6,lqi,0.0,0.0
8,lqi,0.0,0.0
10,lqi,0.0,0.0
12,lqi,0.0,0.0
14,lqi,0.0,0.0
16,lqi,83.25,0.0
18,lqi,78.1071,3.54616
20,lqi,89.4171,2.20037
22,lqi,103.381,0.584483
24,lqi,104.818,2.09188
26,lqi,105.719,0.838509
28,lqi,106.15,0.439915
30,lqi,105.667,0.55048
32,lqi,105.131,0.711799
34,lqi,104.722,1.26002
36,lqi,105.912,0.44928
38,lqi,106.433,0.225046
40,lqi,107.008,0.16283
42,lqi,107.191,0.0838979
44,lqi,107.198,0.12707
46,lqi,107.063,0.126947
48,lqi,106.424,0.471465
50,lqi,106.523,0.267101
52,lqi,104.943,0.923405
54,lqi,103.436,0.4059
56,lqi,103.16,0.756895
58,lqi,99.617,3.09255
60,lqi,97.4749,1.94062
62,lqi,92.4086,3.63595
64,lqi,95.4972,2.18853
66,lqi,100.357,1.05328
68,lqi,98.29,2.01219
70,lqi,99.7195,2.80243
72,lqi,86.5,0.0
74,lqi,0.0,0.0
76,lqi,0.0,0.0
78,lqi,0.0,0.0
80,lqi,0.0,0.0
82,lqi,0.0,0.0
