timestamp,measurement_type,value,stddev
16,lqi,-98.05,3.4185
18,lqi,-90.7732,0.64263
20,lqi,-88.3016,0.606023
22,lqi,-80.6384,1.06769
24,lqi,-78.5095,2.35322
26,lqi,-76.746,1.95867
28,lqi,-75.1723,0.452293
30,lqi,-77.217,0.952709
32,lqi,-77.2681,1.40392
34,lqi,-76.0317,2.64868
36,lqi,-72.6937,2.86732
38,lqi,-70.7689,1.62645
40,lqi,-66.1829,2.2711
42,lqi,-60.8759,1.32648
44,lqi,-60.5252,1.07358
46,lqi,-67.7527,1.39167
48,lqi,-70.8046,1.49683
50,lqi,-71.587,1.21859
52,lqi,-76.2375,1.28364
54,lqi,-79.38,1.30615
56,lqi,-80.3944,1.14732
58,lqi,-82.7795,2.11699
60,lqi,-84.9048,1.20749
62,lqi,-86.9376,1.37083
64,lqi,-85.6301,0.824744
66,lqi,-83.6086,0.566773
68,lqi,-84.572,1.17979
70,lqi,-83.6468,1.77516
72,lqi,-97.6222,4.16843
