timestamp,measurement_type,value,stddev
2,lqi,0.0,0.0
4,lqi,0.0,0.0
6,lqi,0.0,0.0
8,lqi,0.0,0.0
10,lqi,0.0,0.0
12,lqi,0.0,0.0
14,lqi,0.0,0.0
16,lqi,779.487,1366.5
18,lqi,2085.69,1492.97
20,lqi,8610.85,1874.75
22,lqi,18926.7,2536.7
24,lqi,20498.5,1588.54
26,lqi,19521.6,1713.12
28,lqi,21708.3,2553.33
30,lqi,20002.6,1937.87
32,lqi,18580.5,2037.17
34,lqi,20117.8,4467.9
36,lqi,20749.8,4602.36
38,lqi,21273.6,3144.49
40,lqi,18277.8,2679.57
42,lqi,21869.2,1959.35
44,lqi,19944.9,2298.55
46,lqi,20481.5,2227.9
48,lqi,20474.5,1033.99
50,lqi,19783.5,2246.96
52,lqi,20648.8,3499.62
54,lqi,20724.7,1907.84
56,lqi,20376.2,4440.78
58,lqi,17448.2,3921.33
60,lqi,18554.4,5161.95
62,lqi,15258.3,4553.03
64,lqi,17561.8,1555.11
66,lqi,18452.2,1014.9
68,lqi,18801.0,1887.34
70,lqi,18820.0,2543.02
72,lqi,3463.29,6071.42
74,lqi,0.0,0.0
76,lqi,0.0,0.0
78,lqi,0.0,0.0
80,lqi,0.0,0.0
82,lqi,0.0,0.0
