timestamp,measurement_type,value,stddev
2,lqi,107.53,0.068772
4,lqi,107.502,0.073776
6,lqi,107.601,0.157334
8,lqi,107.558,0.0801139
10,lqi,107.538,0.125839
12,lqi,105.677,3.06076
14,lqi,107.202,0.0640284
16,lqi,107.17,0.140605
18,lqi,107.155,0.598365
20,lqi,104.095,5.58393
22,lqi,107.371,0.135082
24,lqi,107.33,0.157794
26,lqi,107.291,0.15062
28,lqi,107.27,0.0613893
30,lqi,103.46,5.75839
34,lqi,107.097,0.1182
36,lqi,106.149,1.16523
40,lqi,105.657,1.86085
42,lqi,106.107,0.770241
44,lqi,105.152,1.06707
46,lqi,106.34,0.712076
48,lqi,106.234,1.6151
50,lqi,107.21,0.0897442
