timestamp,measurement_type,value,stddev
4,lqi,-59.7464,7.8598
6,lqi,-62.3895,7.45841
8,lqi,-57.6999,2.60724
10,lqi,-62.0756,2.00554
12,lqi,-73.8239,7.4514
14,lqi,-72.3409,2.21014
16,lqi,-74.8991,3.32186
18,lqi,-72.486,4.24429
20,lqi,-78.0421,5.69329
22,lqi,-73.9226,2.21163
24,lqi,-77.9396,1.3538
26,lqi,-73.8196,2.56892
28,lqi,-73.2985,1.26213
30,lqi,-81.4876,5.08843
32,lqi,-86.3591,1.94019
34,lqi,-74.6089,1.35352
36,lqi,-79.5402,3.14154
38,lqi,-86.7633,4.5312
40,lqi,-80.8544,3.36094
42,lqi,-81.1528,2.67425
44,lqi,-83.1076,2.58653
46,lqi,-80.3745,2.37194
48,lqi,-77.3859,4.27489
50,lqi,-72.8122,2.18617
