timestamp,measurement_type,value,stddev
2,lqi,19949.4,2257.14
4,lqi,19681.9,373.944
6,lqi,20302.2,2008.34
8,lqi,20004.2,1044.6
10,lqi,20703.5,1655.11
12,lqi,20943.6,2236.6
14,lqi,19377.0,1104.08
16,lqi,19021.7,1322.54
18,lqi,21198.8,2044.52
20,lqi,21874.0,2058.67
22,lqi,20962.4,1330.77
24,lqi,22661.9,1310.77
26,lqi,20997.7,2364.87
28,lqi,18578.6,3301.13
32,lqi,19927.2,866.129
34,lqi,18282.8,990.263
36,lqi,18215.9,1032.07
38,lqi,16334.2,6923.86
40,lqi,19273.6,1017.33
42,lqi,20005.1,1039.25
44,lqi,19638.4,1960.16
46,lqi,21450.5,1332.4
48,lqi,19397.7,741.056
50,lqi,19632.4,1444.63
