timestamp,measurement_type,value,stddev
2,lqi,107.097,0.0468679
4,lqi,107.033,0.412142
6,lqi,106.123,0.231403
8,lqi,106.177,0.317909
10,lqi,105.744,0.496193
12,lqi,105.267,0.992895
14,lqi,103.062,0.821737
16,lqi,105.376,0.513212
18,lqi,104.674,1.01687
20,lqi,102.015,1.22448
22,lqi,99.8754,1.35672
24,lqi,100.858,2.94532
26,lqi,102.767,1.1269
28,lqi,101.678,2.1733
30,lqi,98.3981,1.24363
32,lqi,96.6016,2.1856
34,lqi,97.0795,1.82291
36,lqi,98.4047,0.868131
38,lqi,96.7421,1.4013
40,lqi,96.3171,1.27865
42,lqi,95.3728,1.64437
44,lqi,91.089,1.18105
46,lqi,91.2276,1.12959
48,lqi,89.4852,2.96816
50,lqi,93.2319,2.06227
