timestamp,measurement_type,value,stddev
2,lqi,20385.2,2479.7
4,lqi,18538.5,3319.39
6,lqi,21174.4,1507.72
8,lqi,21721.1,3017.63
10,lqi,21539.4,3638.69
12,lqi,17333.2,1988.8
14,lqi,17926.4,2366.42
16,lqi,21551.6,2943.07
18,lqi,20569.9,2214.14
20,lqi,15200.7,3152.88
22,lqi,15491.4,3683.43
24,lqi,15092.5,2332.67
26,lqi,17495.4,2696.2
28,lqi,17379.9,3084.35
30,lqi,17828.5,1332.13
32,lqi,14278.8,3411.78
34,lqi,15866.0,2160.06
36,lqi,15591.0,3192.79
38,lqi,15948.1,3431.51
40,lqi,18281.4,2669.52
42,lqi,11134.4,3032.6
44,lqi,11275.3,1294.13
46,lqi,8328.88,2612.1
48,lqi,13411.1,1658.31
50,lqi,14654.3,2512.63
