timestamp,measurement_type,value,stddev
2,lqi,107.068,0.121462
4,lqi,106.662,0.137331
6,lqi,106.249,0.409271
8,lqi,105.625,0.443887
10,lqi,103.072,1.76253
12,lqi,102.962,1.50825
14,lqi,102.902,1.64354
16,lqi,102.495,1.95986
18,lqi,100.843,0.377246
20,lqi,100.075,1.5141
22,lqi,98.4168,1.95803
24,lqi,99.0232,2.35841
26,lqi,98.686,1.85583
28,lqi,100.769,1.69408
30,lqi,100.359,2.15139
32,lqi,102.316,1.31896
34,lqi,99.9179,2.12185
36,lqi,98.4863,1.58473
38,lqi,97.0489,2.03064
40,lqi,94.5552,1.71143
42,lqi,94.1466,2.04402
44,lqi,86.242,4.7705
46,lqi,91.7939,4.05014
48,lqi,89.6458,0.555223
50,lqi,88.4316,3.00131
