timestamp,measurement_type,value,stddev
6,lqi,-77.2097,1.52661
8,lqi,-79.0645,1.83123
10,lqi,-82.3348,1.00971
12,lqi,-83.0347,1.80152
14,lqi,-83.6937,1.78265
16,lqi,-84.5911,1.72614
18,lqi,-85.6504,0.575676
20,lqi,-86.0601,0.776038
22,lqi,-87.3867,0.932476
24,lqi,-87.4423,1.4226
26,lqi,-87.5847,0.987372
28,lqi,-86.414,1.1699
30,lqi,-86.2709,2.03657
32,lqi,-84.9825,1.10405
34,lqi,-86.4149,1.42051
36,lqi,-86.9875,1.35669
38,lqi,-88.2501,0.918454
40,lqi,-90.0585,1.77346
42,lqi,-89.3702,1.00285
44,lqi,-90.9238,0.776628
46,lqi,-90.0485,1.095
48,lqi,-90.7719,0.20711
50,lqi,-91.0258,0.451499
