timestamp,measurement_type,value,stddev
2,lqi,19165.8,1135.12
4,lqi,18957.6,4197.62
6,lqi,18084.4,1899.24
8,lqi,19536.1,4539.31
10,lqi,17198.2,3461.39
12,lqi,17145.9,2436.66
14,lqi,18220.5,3592.2
16,lqi,22143.6,4643.7
18,lqi,18957.3,3272.43
20,lqi,16634.2,1985.29
22,lqi,16574.1,2268.72
24,lqi,12868.2,4111.26
26,lqi,20739.0,3720.2
28,lqi,13564.4,1836.82
30,lqi,19607.6,3307.69
32,lqi,18896.7,2990.32
34,lqi,16729.6,3725.73
36,lqi,19542.9,1622.68
38,lqi,15382.2,2792.87
40,lqi,10571.4,1491.45
42,lqi,15214.9,2128.29
44,lqi,9790.51,3189.83
46,lqi,9951.94,1936.26
48,lqi,8943.28,1200.52
50,lqi,7009.46,1977.21
