timestamp,measurement_type,value,stddev
-6,lqi,98.202,8.59553
-4,lqi,103.514,0.758796
-2,lqi,106.399,0.47828
2,lqi,106.447,0.632623
4,lqi,106.197,0.691582
6,lqi,103.007,3.14316
8,lqi,102.913,1.1919
10,lqi,102.369,2.98531
12,lqi,105.25,0.0
14,lqi,103.066,3.29633
16,lqi,99.8448,0.0
18,lqi,95.519,5.59668
20,lqi,94.2096,3.60403
22,lqi,90.3139,5.07666
24,lqi,93.8434,0.148641
26,lqi,96.8858,5.26158
28,lqi,97.8549,0.121407
30,lqi,95.4305,5.73406
32,lqi,97.6615,8.15819
34,lqi,97.6057,5.49368
36,lqi,93.643,10.6231
38,lqi,95.4896,3.33152
40,lqi,97.1157,7.4775
42,lqi,92.9633,6.08322
44,lqi,97.371,5.86941
46,lqi,96.0972,4.62603
48,lqi,96.0538,5.32218
50,lqi,92.5266,3.66446
52,lqi,94.7401,4.37165
54,lqi,89.9571,2.60105
56,lqi,87.6268,1.25551
58,lqi,85.9674,3.69344
60,lqi,89.1492,3.29716
62,lqi,83.214,1.91775
64,lqi,85.9067,5.34606
66,lqi,82.405,4.23682
68,lqi,86.895,3.62126
70,lqi,80.8725,1.18033
72,lqi,83.1097,2.18478
74,lqi,82.8777,3.96582
76,lqi,80.552,4.30282
78,lqi,79.0361,6.88017
80,lqi,76.38,4.25945
82,lqi,72.4546,4.70273
84,lqi,80.4351,4.2335
86,lqi,73.5282,5.49054
88,lqi,73.8593,6.34692
90,lqi,69.1752,6.54421
92,lqi,70.4167,7.73813
94,lqi,66.7272,1.00792
96,lqi,79.0968,0.0
98,lqi,71.4103,0.355422
102,lqi,79.4706,0.0
104,lqi,72.5,0.0
108,lqi,77.8049,0.0
118,lqi,69.5909,4.97673
120,lqi,61.25,0.0
124,lqi,69.0,0.0
