timestamp,measurement_type,value,stddev
-6,lqi,-81.5,13.1663
6,lqi,-81.6504,3.59705
8,lqi,-83.9725,1.9227
10,lqi,-81.8684,3.28998
12,lqi,-81.1633,0.0
14,lqi,-80.8281,5.38517
16,lqi,-85.7299,0.0
18,lqi,-87.3366,3.15642
20,lqi,-89.2656,1.00898
22,lqi,-89.4475,2.12707
24,lqi,-89.1671,0.129584
26,lqi,-87.7321,2.10406
28,lqi,-87.9163,0.290283
30,lqi,-88.1754,2.02595
32,lqi,-87.2832,2.47728
34,lqi,-87.552,1.8846
36,lqi,-88.7952,3.16227
38,lqi,-88.6164,1.13265
40,lqi,-88.472,2.44561
42,lqi,-89.2669,1.38015
44,lqi,-88.2973,2.25997
46,lqi,-88.4185,1.24093
48,lqi,-88.8486,1.4528
50,lqi,-89.439,0.879019
52,lqi,-89.2561,1.21852
54,lqi,-90.2668,0.438454
56,lqi,-90.9454,0.118636
58,lqi,-90.9866,0.458704
60,lqi,-90.5262,0.515864
62,lqi,-91.3149,0.248388
64,lqi,-89.5543,2.00267
66,lqi,-91.4282,0.385385
68,lqi,-90.8408,0.445816
70,lqi,-91.6501,0.150304
72,lqi,-91.5285,0.314712
74,lqi,-91.4672,0.582914
76,lqi,-91.724,0.565079
78,lqi,-91.7535,0.636002
80,lqi,-92.3812,0.525
82,lqi,-92.4211,0.397683
84,lqi,-91.9673,0.393362
86,lqi,-92.4524,0.223266
88,lqi,-92.3519,0.677725
90,lqi,-92.9595,0.83296
92,lqi,-92.8964,0.605513
94,lqi,-93.0909,0.125981
96,lqi,-91.9032,0.0
98,lqi,-92.6282,0.408711
102,lqi,-91.9412,0.0
104,lqi,-93.0,0.0
108,lqi,-92.3902,0.0
118,lqi,-93.3182,0.944927
120,lqi,-93.5,0.0
124,lqi,-93.0,0.0
