timestamp,measurement_type,value,stddev
-6,lqi,13926.3,9322.18
-4,lqi,18187.5,571.696
-2,lqi,20588.3,1426.58
2,lqi,20382.8,462.562
4,lqi,13809.7,10206.0
6,lqi,16938.0,3184.51
8,lqi,20062.4,161.461
10,lqi,18885.1,1631.0
12,lqi,20307.7,0.0
14,lqi,18923.5,1591.5
16,lqi,19200.0,0.0
18,lqi,13780.4,4625.43
20,lqi,14897.3,398.01
22,lqi,10044.9,5076.09
24,lqi,17588.6,2993.61
26,lqi,15578.2,5073.87
28,lqi,18764.7,171.301
30,lqi,15318.5,4408.54
32,lqi,14237.5,5413.91
34,lqi,16539.3,3321.08
36,lqi,15179.2,7732.38
38,lqi,16818.9,2912.4
40,lqi,19237.7,1304.44
42,lqi,14898.6,3703.27
44,lqi,15953.9,3466.62
46,lqi,15751.2,2665.99
48,lqi,17855.9,2963.93
50,lqi,15032.9,2821.26
52,lqi,17240.1,3315.3
54,lqi,13531.7,1514.61
56,lqi,12796.5,1236.87
58,lqi,11320.9,3667.54
60,lqi,13709.0,3429.88
62,lqi,8044.78,3144.26
64,lqi,11532.1,3696.32
66,lqi,5873.43,989.281
68,lqi,10474.7,3455.19
70,lqi,5267.93,2866.0
72,lqi,9557.19,2667.46
74,lqi,4341.64,1464.61
76,lqi,7145.64,4382.61
78,lqi,7461.28,5591.76
80,lqi,4146.26,2779.75
82,lqi,2279.85,1357.35
84,lqi,4979.09,3735.64
86,lqi,1640.95,1173.67
88,lqi,1633.68,940.202
90,lqi,2579.95,1939.74
92,lqi,3330.95,3566.07
94,lqi,728.572,296.985
96,lqi,3085.71,0.0
98,lqi,1076.47,171.203
102,lqi,4628.57,0.0
104,lqi,1107.69,0.0
108,lqi,6635.29,0.0
118,lqi,1364.83,1178.8
120,lqi,3200.0,0.0
124,lqi,1440.0,0.0
