timestamp,measurement_type,value,stddev
-10,lqi,63.0,0.0
-8,lqi,79.0,0.0
-4,lqi,99.1613,0.0
-2,lqi,101.591,3.82103
2,lqi,105.844,0.918293
4,lqi,103.31,4.48902
6,lqi,99.8308,5.1181
8,lqi,100.228,0.0
10,lqi,99.5267,3.62778
12,lqi,105.534,0.0
14,lqi,102.532,4.10525
16,lqi,103.732,3.29856
18,lqi,102.762,5.32775
20,lqi,102.708,4.36427
22,lqi,101.588,4.53296
24,lqi,100.947,5.25808
26,lqi,91.8808,4.7096
28,lqi,99.6242,5.94669
30,lqi,94.0828,10.0144
32,lqi,92.3597,8.16991
34,lqi,91.0609,13.6091
36,lqi,86.2929,8.35109
38,lqi,94.0262,15.9421
40,lqi,83.395,6.88902
42,lqi,92.784,16.5244
44,lqi,78.4392,10.8579
46,lqi,94.7196,14.2936
48,lqi,79.6737,7.0217
50,lqi,88.3361,11.6798
52,lqi,85.0502,1.48551
54,lqi,79.5288,10.648
56,lqi,71.2222,0.0
58,lqi,94.2646,0.0
60,lqi,73.7104,4.62939
62,lqi,74.315,6.62672
66,lqi,75.1485,18.2229
68,lqi,69.4615,0.0
70,lqi,79.5374,4.51924
74,lqi,86.0,0.0
78,lqi,79.359,0.0
82,lqi,77.9892,0.0
86,lqi,82.4754,0.0
88,lqi,67.25,0.0
92,lqi,67.5,0.0
96,lqi,68.5,0.0
100,lqi,71.8889,0.0
128,lqi,79.0,18.0171
