timestamp,measurement_type,value,stddev
-10,lqi,-93.0,0.0
-8,lqi,-91.8333,0.0
-4,lqi,-83.871,0.0
-2,lqi,-81.3963,3.59245
2,lqi,-78.4577,3.44433
4,lqi,-81.9121,6.64442
6,lqi,-83.1497,3.84274
8,lqi,-86.5062,0.0
10,lqi,-85.3317,2.69527
12,lqi,-82.9118,0.0
14,lqi,-83.9707,3.17656
16,lqi,-83.3078,2.95855
18,lqi,-84.0295,4.18102
20,lqi,-84.5078,2.72086
22,lqi,-86.2893,3.38181
24,lqi,-86.3719,3.07457
26,lqi,-89.5301,1.60206
28,lqi,-85.3478,4.06428
30,lqi,-86.3326,6.69644
32,lqi,-89.5546,1.85427
34,lqi,-87.6489,5.8963
36,lqi,-90.8338,1.08072
38,lqi,-87.2982,5.92007
40,lqi,-91.3477,0.818923
42,lqi,-87.8328,5.3519
44,lqi,-91.7316,0.989118
46,lqi,-87.8533,4.8809
48,lqi,-91.8197,0.794058
50,lqi,-89.8785,2.86738
52,lqi,-91.4194,0.141781
54,lqi,-91.6498,1.70152
56,lqi,-92.6667,0.0
58,lqi,-89.5714,0.0
60,lqi,-92.4104,0.308474
62,lqi,-92.2357,0.706674
66,lqi,-92.3576,2.27625
68,lqi,-92.6154,0.0
70,lqi,-91.7926,0.405454
74,lqi,-90.8219,0.0
78,lqi,-91.5385,0.0
82,lqi,-91.7097,0.0
86,lqi,-91.459,0.0
88,lqi,-92.75,0.0
92,lqi,-93.0,0.0
96,lqi,-92.6667,0.0
100,lqi,-92.2222,0.0
128,lqi,-93.0,0.0
