timestamp,measurement_type,value,stddev
-10,lqi,378.947,0.0
-8,lqi,1028.57,0.0
-4,lqi,11127.3,0.0
-2,lqi,15177.9,5346.88
2,lqi,20860.0,368.619
4,lqi,18913.8,2571.38
6,lqi,15401.7,5288.77
8,lqi,18862.0,0.0
10,lqi,17364.4,2620.96
12,lqi,21600.0,0.0
14,lqi,19942.5,1087.26
16,lqi,19091.8,2120.09
18,lqi,20640.6,735.434
20,lqi,20615.2,814.033
22,lqi,20312.6,323.892
24,lqi,18096.6,4429.36
26,lqi,17573.9,2883.01
28,lqi,15323.9,5506.23
30,lqi,16959.8,3173.3
32,lqi,16214.3,6854.26
34,lqi,13214.1,9545.4
36,lqi,12349.9,6406.65
38,lqi,14873.7,8140.53
40,lqi,10550.1,6196.95
42,lqi,13640.6,9622.39
44,lqi,8386.34,6982.99
46,lqi,17521.6,3494.76
48,lqi,9039.16,5500.13
50,lqi,11783.5,6635.3
52,lqi,5681.25,389.793
54,lqi,5612.03,8113.59
56,lqi,1636.36,0.0
58,lqi,19004.7,0.0
60,lqi,3954.7,4016.52
62,lqi,6083.76,7008.82
66,lqi,8744.82,11931.4
68,lqi,2340.0,0.0
70,lqi,8613.38,4261.62
74,lqi,6848.78,0.0
78,lqi,3600.0,0.0
82,lqi,9827.03,0.0
86,lqi,6915.79,0.0
88,lqi,729.114,0.0
92,lqi,1309.09,0.0
96,lqi,960.0,0.0
100,lqi,2769.23,0.0
128,lqi,2400.0,0.0
